,predicted,actual,widths,inv_deltax,std
0,-0.5081770147005412,-0.13834334145180707,63,0.0015873015873015873,0.21946661778474852
1,-0.4925407988636015,-0.13322963921762,65,0.0015384615384615385,0.21384750580465928
2,-0.47783808844976267,-0.12844681288829485,67,0.0014925373134328358,0.20850825337480522
3,-0.46398770907440723,-0.12396034803904409,69,0.0014492753623188406,0.203429700938637
4,-0.4509176327624521,-0.11975042498732615,71,0.0014084507042253522,0.19859345434426448
5,-0.4385637250155356,-0.1158018038093451,73,0.0013698630136986301,0.19397610745345872
6,-0.42686869234845465,-0.1120888425925926,75,0.0013333333333333333,0.1895650976387695
7,-0.4157811938458974,-0.10859439419707277,77,0.0012987012987012987,0.18534982177127837
8,-0.4052550876725835,-0.10529588997044634,79,0.0012658227848101266,0.1813192019154958
9,-0.39524878921153206,-0.10217728999432675,81,0.0012345679012345679,0.17746114534344531
10,-0.38572472200161567,-0.09922237897372622,83,0.0012048192771084338,0.17376605074729728
11,-0.37664884618981287,-0.09641085760284505,85,0.001176470588235294,0.17022873539234612
12,-0.36799025202452984,-0.09373761395164487,87,0.0011494252873563218,0.1668373944113444
13,-0.35972080815881013,-0.0911996799558838,89,0.0011235955056179776,0.1635796813205606
14,-0.35181485633114395,-0.08878653779065868,91,0.001098901098901099,0.16044796736427186
15,-0.3442489454423021,-0.08649006869772999,93,0.001075268817204301,0.15743498656840063
16,-0.3370015992224642,-0.08430734456755926,95,0.0010526315789473684,0.15453197370485888
17,-0.3300531126405577,-0.08223176354495106,97,0.0010309278350515464,0.1517324975292011
18,-0.32338537299125353,-0.08024973890135927,99,0.00101010101010101,0.14903405303892428
19,-0.31698170223895145,-0.07835227210839896,101,0.0009900990099009901,0.14643301287304145
20,-0.31082671772945725,-0.07653340389711041,103,0.000970873786407767,0.14392528032135155
21,-0.30490620882032476,-0.07478639140841521,105,0.0009523809523809524,0.14150601704398935
22,-0.2992070273470477,-0.07311037748323483,107,0.0009345794392523365,0.13916845409505338
23,-0.2937169901480193,-0.07150212553423299,109,0.0009174311926605505,0.1369071064916844
24,-0.28842479212733424,-0.06995600611873135,111,0.0009009009009009009,0.13471882124295323
25,-0.28331992854985927,-0.06846780886435029,113,0.0008849557522123894,0.1326019496581241
26,-0.2783926254446443,-0.06703705891619408,115,0.0008695652173913044,0.13055271185485376
27,-0.27363377714644527,-0.06566536848321036,117,0.0008547008547008547,0.12856564815724147
28,-0.2690348901355807,-0.06434909748213011,119,0.0008403361344537816,0.12663737921921786
29,-0.2645880324473892,-0.0630774428165957,121,0.0008264462809917355,0.12476826641660353
30,-0.2602857880173504,-0.06184547842260266,123,0.0008130081300813008,0.1229571810030352
31,-0.2561212154090728,-0.06065135555555556,125,0.0008,0.12119967689884611
32,-0.2520878104420008,-0.05949219745661714,127,0.0007874015748031496,0.1194941058590469
33,-0.24817947229561316,-0.05836935756064339,129,0.0007751937984496124,0.11783825139379499
34,-0.2443904727185809,-0.057284888539258914,131,0.0007633587786259542,0.11622981220011837
35,-0.24071542801604587,-0.05623723115746761,133,0.0007518796992481203,0.11466636488021252
36,-0.23714927352691922,-0.05522265565462582,135,0.0007407407407407407,0.1131458207127477
37,-0.23368724033674523,-0.05423777054066694,137,0.00072992700729927,0.11166385807979931
38,-0.23032483400096473,-0.05328234265105901,139,0.0007194244604316547,0.11021861142425375
39,-0.22705781507896525,-0.052356058478502644,141,0.0007092198581560284,0.10881065006490442
40,-0.22388218130163706,-0.05145777214723893,143,0.0006993006993006993,0.10743925226530626
41,-0.2207941512147179,-0.050585872473246134,145,0.000689655172413793,0.10610267024857781
42,-0.2177901491573748,-0.04974079248101357,147,0.0006802721088435374,0.10479910196512844
43,-0.2148667914505644,-0.04892172806279997,149,0.0006711409395973154,0.10352750169580396
44,-0.21202087368300726,-0.048125638068993074,151,0.0006622516556291391,0.10228733248683941
45,-0.2092493589943405,-0.04734931009440813,153,0.00065359477124183,0.10107819717387628
46,-0.20654936726538128,-0.04659152792230316,155,0.0006451612903225806,0.09989902871194066
47,-0.20391816513461208,-0.04585346317858286,157,0.0006369426751592356,0.09874821251560141
