,mean,std,nx_dx
142,-0.008793054,0.006130713,-1080.0
143,-0.008922593,0.0062219515,-1070.0
144,-0.009065909,0.0063222605,-1060.0
145,-0.009224934,0.0064213593,-1050.0
146,-0.0093961945,0.0065014027,-1040.0
147,-0.009573812,0.006582403,-1030.0
148,-0.009752311,0.006687962,-1020.0
149,-0.009924847,0.006842741,-1010.0
150,-0.010092122,0.0070311646,-1000.0
151,-0.010265372,0.007204458,-990.0
152,-0.010444812,0.007328689,-980.0
153,-0.010626968,0.0074249716,-970.0
154,-0.010818949,0.0075063333,-960.0
155,-0.011022531,0.00759085,-950.0
156,-0.011232457,0.007686045,-940.0
157,-0.0114485035,0.007818507,-930.0
158,-0.011670739,0.008018175,-920.0
159,-0.011896954,0.008254379,-910.0
160,-0.012133433,0.008484541,-900.0
161,-0.0123777725,0.008657763,-890.0
162,-0.012619496,0.008741413,-880.0
163,-0.012863844,0.008802728,-870.0
164,-0.013117636,0.008891543,-860.0
165,-0.013381978,0.009006412,-850.0
166,-0.013663578,0.0092003485,-840.0
167,-0.013963237,0.009463869,-830.0
168,-0.014270378,0.00974147,-820.0
169,-0.014580499,0.010017787,-810.0
170,-0.014892207,0.010229599,-800.0
171,-0.0152013665,0.010333321,-790.0
172,-0.015520022,0.010406389,-780.0
173,-0.015861256,0.010526863,-770.0
174,-0.016222684,0.010698076,-760.0
175,-0.016608024,0.010937943,-750.0
176,-0.01701884,0.0112447515,-740.0
177,-0.017438268,0.011577168,-730.0
178,-0.017853124,0.011880995,-720.0
179,-0.01826092,0.012122496,-710.0
180,-0.018664962,0.012325541,-700.0
181,-0.019092409,0.012493257,-690.0
182,-0.019571163,0.0126808155,-680.0
183,-0.020091321,0.012904478,-670.0
184,-0.020634443,0.013149489,-660.0
185,-0.021199044,0.013469024,-650.0
186,-0.021777246,0.013841278,-640.0
187,-0.02235753,0.014199573,-630.0
188,-0.02293973,0.014552719,-620.0
189,-0.02352898,0.014908712,-610.0
190,-0.02414661,0.015223482,-600.0
191,-0.024822421,0.015484785,-590.0
192,-0.025561508,0.0157646,-580.0
193,-0.026347315,0.016094096,-570.0
194,-0.027164344,0.016447907,-560.0
195,-0.028003134,0.01678125,-550.0
196,-0.028864443,0.017187536,-540.0
197,-0.029757785,0.017762464,-530.0
198,-0.030675344,0.018349906,-520.0
199,-0.031609192,0.018812926,-510.0
200,-0.03259264,0.019203207,-500.0
201,-0.033670045,0.019654505,-490.0
202,-0.03484708,0.02015938,-480.0
203,-0.036104012,0.020556992,-470.0
204,-0.037418976,0.020904204,-460.0
205,-0.038785532,0.021480795,-450.0
206,-0.04021999,0.022287369,-440.0
207,-0.04171614,0.023166204,-430.0
208,-0.04324464,0.023892805,-420.0
209,-0.044831757,0.024533678,-410.0
210,-0.046551783,0.025267318,-400.0
211,-0.048441302,0.025983546,-390.0
212,-0.050485708,0.02655165,-380.0
213,-0.052672125,0.027129883,-370.0
214,-0.055015393,0.027960608,-360.0
215,-0.057527583,0.029098785,-350.0
216,-0.06017676,0.030359047,-340.0
217,-0.06291522,0.03158127,-330.0
218,-0.06576726,0.032671995,-320.0
219,-0.06883517,0.033783,-310.0
220,-0.072204895,0.034984183,-300.0
221,-0.07590855,0.035988033,-290.0
222,-0.07999151,0.037062235,-280.0
223,-0.084504165,0.03860753,-270.0
224,-0.08942602,0.04040419,-260.0
225,-0.094703935,0.04229311,-250.0
226,-0.10031226,0.04423799,-240.0
227,-0.10631503,0.046232685,-230.0
228,-0.1128808,0.04823058,-220.0
229,-0.12021491,0.050309017,-210.0
230,-0.12849447,0.052493744,-200.0
231,-0.13788195,0.054910455,-190.0
232,-0.14855081,0.05770597,-180.0
233,-0.16065527,0.060764328,-170.0
234,-0.17432734,0.064097114,-160.0
235,-0.1897444,0.06781545,-150.0
236,-0.2072706,0.07180688,-140.0
237,-0.22754647,0.07609621,-130.0
238,-0.25146046,0.08103262,-120.0
239,-0.2800594,0.086706355,-110.0
240,-0.31463134,0.09311249,-100.0
241,-0.3568641,0.10126247,-90.0
242,-0.40904453,0.11238957,-80.0
243,-0.47424582,0.1277621,-70.0
244,-0.5568477,0.14949656,-60.0
245,-0.66341203,0.18001515,-50.0
246,-0.8049093,0.22168508,-40.0
247,-0.9990739,0.2793168,-30.0
248,-1.2658135,0.36959928,-20.0
249,-1.593888,0.5043592,-10.0
250,-1.9255657,0.6326684,0.0
251,-2.206784,0.70515645,10.0
252,-2.4232078,0.73112464,20.0
253,-2.5858538,0.7383275,30.0
254,-2.7085385,0.74132466,40.0
255,-2.8016837,0.7448412,50.0
256,-2.8732073,0.7506593,60.0
257,-2.9293332,0.7602385,70.0
258,-2.9747827,0.77484,80.0
259,-3.0123203,0.79375756,90.0
260,-3.0430672,0.8144986,100.0
261,-3.0670068,0.8358788,110.0
262,-3.0835485,0.857874,120.0
263,-3.0928442,0.87982905,130.0
264,-3.0962493,0.9010427,140.0
265,-3.0959485,0.9218705,150.0
266,-3.0940971,0.9429268,160.0
267,-3.0918171,0.96444094,170.0
268,-3.0891218,0.9868316,180.0
269,-3.0852833,1.0102419,190.0
270,-3.0791204,1.0339044,200.0
271,-3.06957,1.056726,210.0
272,-3.0562756,1.0777967,220.0
273,-3.040092,1.0961304,230.0
274,-3.023039,1.1121826,240.0
275,-3.00689,1.1283348,250.0
276,-2.9919584,1.1459851,260.0
277,-2.9773433,1.16485,270.0
278,-2.9617403,1.1840571,280.0
279,-2.9442496,1.2023492,290.0
280,-2.9248104,1.2184521,300.0
281,-2.903964,1.2321699,310.0
282,-2.8824291,1.2445599,320.0
283,-2.860891,1.2568699,330.0
284,-2.8395503,1.2693903,340.0
285,-2.8182616,1.2820303,350.0
286,-2.796711,1.2941803,360.0
287,-2.7746031,1.3051462,370.0
288,-2.7519717,1.3152945,380.0
289,-2.7291324,1.3247098,390.0
290,-2.7064867,1.332822,400.0
291,-2.6838677,1.3404161,410.0
292,-2.6605523,1.3486449,420.0
293,-2.636138,1.3565543,430.0
294,-2.611072,1.363008,440.0
295,-2.5859199,1.3680986,450.0
296,-2.561016,1.3719603,460.0
297,-2.5367694,1.3751575,470.0
298,-2.5134974,1.3785684,480.0
299,-2.490751,1.3826183,490.0
300,-2.4672565,1.3869052,500.0
301,-2.4421518,1.3902848,510.0
302,-2.415728,1.392015,520.0
303,-2.3887033,1.3920158,530.0
304,-2.3620036,1.3907118,540.0
305,-2.3364394,1.3889499,550.0
306,-2.312337,1.3881139,560.0
307,-2.2895143,1.3891882,570.0
308,-2.2672088,1.3913237,580.0
309,-2.2442052,1.3914838,590.0
310,-2.2196271,1.3879322,600.0
311,-2.1936016,1.3829443,610.0
312,-2.1670609,1.3790627,620.0
313,-2.1414888,1.3765018,630.0
314,-2.1177645,1.3741899,640.0
315,-2.0955732,1.3712293,650.0
316,-2.0742028,1.3681455,660.0
317,-2.0526745,1.3652883,670.0
318,-2.0303166,1.3625563,680.0
319,-2.007243,1.3593751,690.0
320,-1.9837496,1.3544487,700.0
321,-1.9603022,1.347287,710.0
322,-1.9373829,1.3390874,720.0
323,-1.9151042,1.3319888,730.0
324,-1.8935426,1.327578,740.0
325,-1.8729184,1.3264096,750.0
326,-1.8530731,1.3263872,760.0
327,-1.8332145,1.3240681,770.0
328,-1.8126886,1.3182249,780.0
329,-1.7914902,1.309946,790.0
330,-1.7699275,1.300179,800.0
331,-1.748718,1.2904272,810.0
332,-1.7285352,1.2831929,820.0
333,-1.7093198,1.2794669,830.0
334,-1.690586,1.2774835,840.0
335,-1.6721991,1.2755935,850.0
336,-1.6539202,1.273201,860.0
337,-1.6351284,1.2682923,870.0
338,-1.6156783,1.2592094,880.0
339,-1.5963184,1.2480011,890.0
340,-1.5777873,1.2382908,900.0
341,-1.5600655,1.2309418,910.0
342,-1.5428214,1.2250587,920.0
343,-1.5257741,1.2213544,930.0
344,-1.508701,1.2197994,940.0
345,-1.4915421,1.2175128,950.0
346,-1.4743978,1.211679,960.0
347,-1.4573747,1.2024685,970.0
348,-1.4405473,1.1923069,980.0
349,-1.4241757,1.183553,990.0
350,-1.4084766,1.1765863,1000.0
351,-1.3932024,1.1707923,1010.0
352,-1.3778304,1.1655312,1020.0
353,-1.3622019,1.1608294,1030.0
354,-1.3464297,1.1564623,1040.0
355,-1.3308369,1.1510717,1050.0
356,-1.3159684,1.1444637,1060.0
357,-1.3018425,1.1375544,1070.0
358,-1.2881212,1.1307131,1080.0
359,-1.2749251,1.1240216,1090.0
360,-1.262426,1.1174637,1100.0
361,-1.249951,1.1111225,1110.0
362,-1.2364974,1.1055771,1120.0
363,-1.2218438,1.101216,1130.0
364,-1.2070217,1.0966198,1140.0
365,-1.193239,1.0906463,1150.0
366,-1.1809258,1.0841428,1160.0
367,-1.1702223,1.0782155,1170.0
368,-1.1609632,1.0727295,1180.0
369,-1.1518484,1.0674319,1190.0
370,-1.1410494,1.0625715,1200.0
371,-1.1277255,1.0578972,1210.0
372,-1.112675,1.0523912,1220.0
373,-1.0978929,1.045834,1230.0
374,-1.0854986,1.039741,1240.0
375,-1.0763707,1.0353086,1250.0
376,-1.0696086,1.0318167,1260.0
377,-1.063117,1.0286076,1270.0
378,-1.0548897,1.0251793,1280.0
379,-1.0442817,1.0204288,1290.0
380,-1.0316193,1.0140713,1300.0
381,-1.0177857,1.0072472,1310.0
382,-1.0047266,1.0016837,1320.0
383,-0.99449533,0.99827796,1330.0
384,-0.9874474,0.9964569,1340.0
385,-0.98176277,0.99453646,1350.0
386,-0.9753498,0.99131906,1360.0
387,-0.9676193,0.9870708,1370.0
