,predicted,actual,widths,inv_deltax,std
0,-0.49913687012404384,-0.07651723050005922,63,0.0015873015873015873,0.06310517871969953
1,-0.4837788125817656,-0.07310729256999249,65,0.0015384615384615385,0.06100346687814172
2,-0.46933765399723526,-0.06994822346684083,67,0.0014925373134328358,0.05900412836714855
3,-0.4557336640263009,-0.06702975564477168,69,0.0014492753623188406,0.057101330558470505
4,-0.44289609602556007,-0.06432179091886846,71,0.0014084507042253522,0.05529716572571783
5,-0.4307619564084214,-0.061787190402966645,73,0.0013698630136986301,0.05358930749853242
6,-0.4192749709041968,-0.05940393307579887,75,0.0013333333333333333,0.05196758908834327
7,-0.40838471191967224,-0.057153294344529745,77,0.0012987012987012987,0.05043735128034515
8,-0.39804585845335144,-0.05502400221082084,79,0.0012658227848101266,0.04899944531588638
9,-0.3882175656520341,-0.053023008140904486,81,0.0012345679012345679,0.04763008952532268
10,-0.37886292551584055,-0.05114021951353448,83,0.0012048192771084338,0.04632013495811389
11,-0.3699485037389972,-0.049368209920998316,85,0.001176470588235294,0.04506721017521158
12,-0.36144394043465244,-0.047699811999466483,87,0.0011494252873563218,0.04386845438555198
13,-0.35332160469454793,-0.046133051961829694,89,0.0011235955056179776,0.04271849482931164
14,-0.34555629470126115,-0.04466224546605497,91,0.001098901098901099,0.041610943336471605
15,-0.3381249765356426,-0.04326728072961999,93,0.001075268817204301,0.040546784634179774
16,-0.3310065559769975,-0.04193558994943672,95,0.0010526315789473684,0.0395318499417355
17,-0.3241816785341728,-0.04066361531195925,97,0.0010309278350515464,0.038566225956413444
18,-0.31763255371530064,-0.03945700856009448,99,0.00101010101010101,0.037641122915553264
19,-0.31134280017638377,-0.03831145555385713,101,0.0009900990099009901,0.036750867279742874
20,-0.3052973089108229,-0.03721522801962231,103,0.000970873786407767,0.035895665740480705
21,-0.2994821220744263,-0.036161989183562865,105,0.0009523809523809524,0.03507858203303272
22,-0.293884325400138,-0.03515132651184334,107,0.0009345794392523365,0.03429927981389354
23,-0.2884919524570162,-0.03418551662043171,109,0.0009174311926605505,0.03355207361564896
24,-0.2832938992595925,-0.033264161520896375,111,0.0009009009009009009,0.03282954329978599
25,-0.2782798479452634,-0.0323880259810884,113,0.0008849557522123894,0.03212936441868724
26,-0.27344019841578054,-0.031551078454558276,115,0.0008695652173913044,0.03145309477616939
27,-0.26876600698986974,-0.030750525119628783,117,0.0008547008547008547,0.030800706595201344
28,-0.2642489312421409,-0.02998190191365658,119,0.0008403361344537816,0.03017301848962408
29,-0.25988118031251867,-0.029239563828906266,121,0.0008264462809917355,0.029570392656004488
30,-0.2556554700635347,-0.028526673038738393,123,0.0008130081300813008,0.028987042126490673
31,-0.25156498254251813,-0.027840704796091718,125,0.0008,0.028422736583485757
32,-0.24760332927413198,-0.02718251544277664,127,0.0007874015748031496,0.027876942247122328
33,-0.2437645179675563,-0.026555351477558425,129,0.0007751937984496124,0.027345659715967852
34,-0.24004292227339513,-0.025952986647320483,131,0.0007633587786259542,0.026829961598680264
35,-0.23643325426928394,-0.02537080804354932,133,0.0007518796992481203,0.02633107265945896
36,-0.23293053939122046,-0.024808676718357334,135,0.0007407407407407407,0.025848501987723423
37,-0.22953009356069168,-0.024267770944037505,137,0.00072992700729927,0.02538110230026512
38,-0.22622750228643715,-0.023748295652566025,139,0.0007194244604316547,0.024927742305817298
39,-0.22301860154478556,-0.02324521401698815,141,0.0007092198581560284,0.02448845510587316
40,-0.2198994602644389,-0.022757336374966398,143,0.0006993006993006993,0.02406291573543566
41,-0.21686636426079145,-0.022283331511121145,145,0.000689655172413793,0.023651875169559727
42,-0.21391580148173306,-0.021827848913732344,147,0.0006802721088435374,0.023251953496926003
43,-0.2110444484417098,-0.02138912293400861,149,0.0006711409395973154,0.02286241677611456
44,-0.2082491577338726,-0.02096178727746704,151,0.0006622516556291391,0.022485191505920193
45,-0.2055269465216651,-0.02054406375185329,153,0.00065359477124183,0.022120829977739443
46,-0.20287498592138556,-0.020137139434827686,155,0.0006451612903225806,0.02176869544819336
47,-0.20029059119627235,-0.019739546977909594,157,0.0006369426751592356,0.021428972254180775
48,-0.19777121269065887,-0.01935157364850511,159,0.0006289308176100629,0.021100146017004308
49,-0.19531442743984326,-0.018976288837080413,161,0.0006211180124223603,0.020779472905720398
50,-0.1929179313976366,-0.01861650907268602,163,0.0006134969325153375,0.020464041442660848
51,-0.1905795322291804,-0.01826926763241856,165,0.0006060606060606061,0.02015622080187299
52,-0.1882971426216453,-0.017933699162465993,167,0.0005988023952095808,0.019855547744605257
53,-0.18606877406990985,-0.017608227464025236,169,0.000591715976331361,0.01956186251291606
54,-0.18389253109833195,-0.017296040226371344,171,0.0005847953216374269,0.0192723215999858
55,-0.18176660588332233,-0.016996653709771832,173,0.0005780346820809249,0.018987353698345113
56,-0.1796892732446558,-0.016704371087989025,175,0.0005714285714285715,0.018710525096571243
57,-0.1776588859763546,-0.01642137535013404,177,0.0005649717514124294,0.018439946934715803
58,-0.17567387049058525,-0.01614774599487353,179,0.0005586592178770949,0.01817567818965462
59,-0.1737327227503578,-0.015881122507850627,181,0.0005524861878453039,0.017918367657600607
60,-0.17183400446893313,-0.015621455341096878,183,0.000546448087431694,0.017667062138635014
61,-0.16997633955575547,-0.015367107837775456,185,0.0005405405405405405,0.017422620057934206
62,-0.16815841079045327,-0.01511864967355373,187,0.0005347593582887701,0.01718479882328962
63,-0.16637895670801464,-0.014876312740711824,189,0.0005291005291005291,0.016953110133716618
64,-0.16463676867965846,-0.014641675686583467,191,0.0005235602094240838,0.016726087752661763
65,-0.162930688175206,-0.014413449082622962,193,0.0005181347150259067,0.0165039470695942
66,-0.16125960419392185,-0.014188243420479878,195,0.0005128205128205128,0.01628773037589214
67,-0.1596224508518516,-0.01396897301950246,197,0.0005076142131979696,0.016076139958527986
68,-0.15801820511464706,-0.0137567314376646,199,0.0005025125628140704,0.01586839587002228
69,-0.15644588466574508,-0.013550384774231978,201,0.0004975124378109452,0.015665042992595156
70,-0.15490454590056532,-0.013349037124787527,203,0.0004926108374384236,0.015465919697433777
71,-0.1533932820381208,-0.013150759224819484,205,0.0004878048780487805,0.015272267694516842
72,-0.1519112213421003,-0.012956249796958209,207,0.0004830917874396135,0.015083624398413945
73,-0.15045752544408977,-0.01276443093467257,209,0.0004784688995215311,0.014900215522797878
74,-0.14903138776215527,-0.012577540628814665,211,0.00047393364928909954,0.014720509811437802
75,-0.14763203200852001,-0.01239753701546659,213,0.00046948356807511736,0.01454314199222903
76,-0.1462587107805338,-0.012222447568540297,215,0.00046511627906976747,0.014369113215396155
77,-0.14491070422956112,-0.012051853623189999,217,0.0004608294930875576,0.014198444130856145
78,-0.14358731880280712,-0.011885486317936275,219,0.00045662100456621003,0.014031163264099639
79,-0.14228788605346046,-0.01172399803492645,221,0.00045248868778280545,0.01386650644439128
80,-0.14101176151486441,-0.011566144388925469,223,0.0004484304932735426,0.013705229366752255
81,-0.13975832363473228,-0.011411529061352763,225,0.00044444444444444447,0.013547157829182421
82,-0.1385269727657038,-0.011260689006490595,227,0.0004405286343612335,0.013392046098737835
83,-0.1373171302087981,-0.011113656811422101,229,0.0004366812227074236,0.013239954882737071
84,-0.1361282373065574,-0.010969664016013543,231,0.0004329004329004329,0.01309098137240532
85,-0.13495975458289597,-0.01082841002734065,233,0.00042918454935622315,0.012945042092600324
86,-0.13381116092687134,-0.010690310950730385,235,0.000425531914893617,0.012801934106182343
87,-0.1326819528177838,-0.01055541593524334,237,0.0004219409282700422,0.012661534698956348
88,-0.1315716435891831,-0.010422390425171539,239,0.00041841004184100416,0.0125244116803528
89,-0.13047976272952183,-0.010291389197068313,241,0.0004149377593360996,0.012390413932556554
90,-0.1294058552173447,-0.010162457633518848,243,0.00041152263374485596,0.012259242523925502
91,-0.12834948088903986,-0.01003461231808687,245,0.00040816326530612246,0.012131540621482506
92,-0.12731021383730673,-0.009908946179479282,247,0.0004048582995951417,0.01200634683826678
