,predicted,actual,widths,inv_deltax,std
0,-0.5081770147005412,-0.09202586902535805,63,0.0015873015873015873,0.06074663079520958
1,-0.4925407988636015,-0.08854298331814327,65,0.0015384615384615385,0.05873709963283899
2,-0.47783808844976267,-0.08527904789635624,67,0.0014925373134328358,0.05685213586118127
3,-0.46398770907440723,-0.08221686025820842,69,0.0014492753623188406,0.05507043154355508
4,-0.4509176327624521,-0.07934732412277172,71,0.0014084507042253522,0.05337943274026464
5,-0.4385637250155356,-0.07665995220478734,73,0.0013698630136986301,0.051773316652127116
6,-0.42686869234845465,-0.07413388315083068,75,0.0013333333333333333,0.05024914610094635
7,-0.4157811938458974,-0.07175160428465727,77,0.0012987012987012987,0.04880250905696479
8,-0.4052550876725835,-0.06950081818469128,79,0.0012658227848101266,0.04742713102677177
9,-0.39524878921153206,-0.06737474975671696,81,0.0012345679012345679,0.04611791632316557
10,-0.38572472200161567,-0.06536132391628778,83,0.0012048192771084338,0.04487488546969977
11,-0.37664884618981287,-0.06344580533824394,85,0.001176470588235294,0.04369416324431318
12,-0.36799025202452984,-0.06162366475511012,87,0.0011494252873563218,0.04256731351334011
13,-0.35972080815881013,-0.059894096457546356,89,0.0011235955056179776,0.04148894815629982
14,-0.35181485633114395,-0.058251475265759974,91,0.001098901098901099,0.0404583238930797
15,-0.3442489454423021,-0.056688415561746155,93,0.001075268817204301,0.039473000288825284
16,-0.3370015992224642,-0.055202147409122666,95,0.0010526315789473684,0.03852566560488962
17,-0.3300531126405577,-0.05378917111789168,97,0.0010309278350515464,0.037612897496755254
18,-0.32338537299125353,-0.05244098711330571,99,0.00101010101010101,0.03673669752472727
19,-0.31698170223895145,-0.05114966616276182,101,0.0009900990099009901,0.03589902029835155
20,-0.31082671772945725,-0.0499098478618492,103,0.000970873786407767,0.03509833359699116
21,-0.30490620882032476,-0.04871871845005562,105,0.0009523809523809524,0.03433042536271643
22,-0.2992070273470477,-0.04757634066950928,107,0.0009345794392523365,0.03359243386911926
23,-0.2937169901480193,-0.046480321606893256,109,0.0009174311926605505,0.03288254715514462
24,-0.28842479212733424,-0.045427047521533585,111,0.0009009009009009009,0.032199894580025014
25,-0.28331992854985927,-0.044414191759151005,113,0.0008849557522123894,0.03154351533414505
26,-0.2783926254446443,-0.04344046130477819,115,0.0008695652173913044,0.030910810397433403
27,-0.27363377714644527,-0.042505265970688585,117,0.0008547008547008547,0.03029810979594563
28,-0.2690348901355807,-0.04160606363723986,119,0.0008403361344537816,0.02970465395101122
29,-0.2645880324473892,-0.04073693758784448,121,0.0008264462809917355,0.02913309267741591
30,-0.2602857880173504,-0.039894978516078775,123,0.0008130081300813008,0.028583600613931604
31,-0.2561212154090728,-0.03907817965028551,125,0.0008,0.02805484723421997
32,-0.2520878104420008,-0.0382859402949626,127,0.0007874015748031496,0.027545862056461166
33,-0.24817947229561316,-0.03751941486813139,129,0.0007751937984496124,0.027055261206404627
34,-0.2443904727185809,-0.036779036954078,131,0.0007633587786259542,0.026581163091372928
35,-0.24071542801604587,-0.03606294571056821,133,0.0007518796992481203,0.02612201141814444
36,-0.23714927352691922,-0.03536907413176257,135,0.0007407407407407407,0.02567652220883353
37,-0.23368724033674523,-0.03469622337983493,137,0.00072992700729927,0.02524399615371522
38,-0.23032483400096473,-0.03404381497705945,139,0.0007194244604316547,0.024824360727892396
39,-0.22705781507896525,-0.033411034655407484,141,0.0007092198581560284,0.024417251717281048
40,-0.22388218130163706,-0.03279709827936141,143,0.0006993006993006993,0.0240219975264606
41,-0.2207941512147179,-0.032201001552219416,145,0.000689655172413793,0.023638251131798182
42,-0.2177901491573748,-0.031622954147430035,147,0.0006802721088435374,0.023265195416843725
43,-0.2148667914505644,-0.031062659670295478,149,0.0006711409395973154,0.022902324992360088
44,-0.21202087368300726,-0.030518598786712522,151,0.0006622516556291391,0.0225493276775622
45,-0.2092493589943405,-0.02998869318708629,153,0.00065359477124183,0.022206588573010555
46,-0.20654936726538128,-0.029471803629711215,155,0.0006451612903225806,0.021874147262198735
47,-0.20391816513461208,-0.028968300085992316,157,0.0006369426751592356,0.021551213777062445
48,-0.20135315676813897,-0.028478283723578916,159,0.0006289308176100629,0.02123703416595605
49,-0.1988518753176031,-0.028001517605894283,161,0.0006211180124223603,0.020930853420760277
50,-0.19641197500695767,-0.027537693941252325,163,0.0006134969325153375,0.0206320315948762
51,-0.1940312237947521,-0.027086446218010894,165,0.0006060606060606061,0.020340226975708198
