,2.5318644,7.5952196,12.657719,17.719418,22.780674,27.84143,32.901382,37.96047,43.018745,48.076263,53.132965,58.188797,63.24376,68.29796,73.35133,78.403885,83.45561,88.506516,93.5566,98.60586,103.65433,108.70192,113.74872,118.794754,123.83989,128.88419,133.92769,138.97043,144.01231,149.05336,154.0936,159.13306,164.17166,169.20949,174.2465,179.28261,184.3179,189.35246,194.38615,199.41904,204.45114,209.48236,214.51277,219.54236,224.5712,229.59921,234.62636,239.65268,244.67819,249.70287,254.73502,259.8053,264.96747,270.28723,275.83167,281.66153,287.82822,294.3738,301.33368,308.73956
2000-01-01 00:00:00,10.401824,10.401824,10.401824,10.401824,10.401824,10.401824,10.401824,10.401824,10.401824,10.401824,10.401824,10.401824,10.401824,10.401824,10.401824,10.401824,10.401824,10.401824,10.401824,10.401824,10.401824,10.401824,10.401824,10.401824,10.401824,10.401824,10.401824,10.401824,10.401824,10.401824,10.401824,10.401824,10.401824,10.401824,10.401824,10.401824,10.401824,10.401824,10.401824,10.401824,10.401824,10.401824,10.401824,10.401824,10.401824,10.401824,10.401824,10.401824,10.401824,10.401824,10.401824,10.401824,10.401824,10.401824,10.401824,10.401824,10.401824,10.401824,10.401824,10.401824
2000-01-01 01:00:00,5.0942154,5.5085416,5.886643,6.242432,6.581456,6.9062257,7.2178698,7.5168033,7.8030534,8.076423,8.336574,8.583094,8.81551,9.033331,9.236044,9.423137,9.594102,9.748466,9.885801,10.005769,10.108173,10.193044,10.260748,10.312158,10.34881,10.372919,10.387287,10.394923,10.398475,10.399919,10.400429,10.400562,10.400584,10.400582,10.400547,10.400556,10.400521,10.400511,10.40052,10.400497,10.400466,10.400442,10.400434,10.4004545,10.400429,10.400416,10.400454,10.400418,10.4004,10.400379,10.400372,10.400277,10.400287,10.400298,10.400369,10.400424,10.400399,10.4003725,10.400345,10.400298
2000-01-01 02:00:00,4.487218,4.8509836,5.183454,5.497207,5.7974935,6.086882,6.366711,6.63768,6.900153,7.154309,7.4002266,7.6379395,7.8674345,8.088645,8.301413,8.5054455,8.700292,8.885312,9.059705,9.22258,9.373113,9.51071,9.635158,9.746611,9.845492,9.932368,10.007934,10.073008,10.128511,10.175464,10.214912,10.247893,10.275408,10.298341,10.31744,10.33333,10.346522,10.357422,10.366382,10.373688,10.379584,10.384293,10.388,10.39088,10.393072,10.394724,10.395959,10.396893,10.397628,10.398247,10.39881,10.399355,10.399881,10.400416,10.400895,10.401334,10.401675,10.401891,10.401992,10.401977
2000-01-01 03:00:00,6.4014144,6.8873553,7.256291,7.545667,7.7768183,7.9636784,8.116092,8.24163,8.346278,8.434628,8.510087,8.57524,8.632135,8.682378,8.727204,8.767669,8.804717,8.839138,8.8714285,8.901853,8.930642,8.958041,8.984267,9.009577,9.034274,9.058622,9.082822,9.107029,9.1312895,9.155544,9.179762,9.204006,9.228324,9.252706,9.277108,9.301512,9.325924,9.350343,9.374794,9.399352,9.4240885,9.448998,9.474025,9.499123,9.524282,9.549476,9.574641,9.599713,9.624678,9.6495695,9.674431,9.699364,9.724589,9.750387,9.776991,9.804573,9.833253,9.863067,9.893932,9.92572
2000-01-01 04:00:00,6.301103,6.7982154,7.197369,7.520007,7.780989,7.992394,8.16409,8.304286,8.419721,8.515682,8.59626,8.664748,8.723825,8.775521,8.821232,8.861936,8.898422,8.931374,8.96139,8.988993,9.01465,9.038737,9.061491,9.083027,9.103465,9.122957,9.14164,9.159602,9.176899,9.193584,9.20971,9.225331,9.240517,9.25537,9.269991,9.284431,9.298669,9.312659,9.326377,9.339822,9.353017,9.366005,9.378834,9.39151,9.404014,9.416336,9.428467,9.440369,9.452008,9.463388,9.474563,9.485629,9.496692,9.507871,9.519309,9.531145,9.543465,9.556282,9.569505,9.583023
2000-01-01 05:00:00,6.1844482,6.6720886,7.0636673,7.3805294,7.637341,7.845806,8.0153265,8.153669,8.267273,8.361351,8.440049,8.5066595,8.563757,8.613287,8.656748,8.695367,8.730131,8.761781,8.790889,8.817949,8.843408,8.867626,8.890856,8.913177,8.934543,8.954947,8.974497,8.99335,9.011624,9.029399,9.046725,9.06362,9.080091,9.096166,9.111862,9.127159,9.1420555,9.156593,9.170828,9.184786,9.198464,9.211867,9.22502,9.237935,9.25061,9.263056,9.275284,9.287321,9.299192,9.310903,9.322468,9.333947,9.345424,9.35699,9.368727,9.3807125,9.393017,9.405697,9.418825,9.432502
2000-01-01 06:00:00,6.165199,6.6498,7.0366898,7.3484707,7.600516,7.8046694,7.970296,8.105181,8.215808,8.307448,8.384246,8.449321,8.505024,8.553272,8.595655,8.633384,8.667348,8.698262,8.726714,8.753143,8.777867,8.801156,8.823286,8.844521,8.865068,8.885022,8.904348,8.92303,8.941152,8.958836,8.976141,8.99307,9.009616,9.025769,9.041524,9.056921,9.0720415,9.086924,9.101555,9.11591,9.129994,9.1438465,9.157502,9.17098,9.184279,9.197391,9.210315,9.223079,9.2357235,9.248297,9.260825,9.273342,9.285919,9.298653,9.311626,9.324891,9.338468,9.352387,9.366711,9.381491
2000-01-01 07:00:00,6.2052207,6.6935515,7.08474,7.4010925,7.657438,7.865141,8.033435,8.170263,8.2823,8.37483,8.451935,8.516878,8.572322,8.620325,8.662459,8.699991,8.733921,8.764957,8.793609,8.820289,8.845342,8.869044,8.89162,8.913234,8.933986,8.953946,8.973235,8.991988,9.010265,9.02802,9.04518,9.061731,9.077696,9.093135,9.10817,9.122941,9.137563,9.15205,9.1663475,9.1804,9.19418,9.2077055,9.221028,9.234141,9.247007,9.259617,9.271985,9.284129,9.296048,9.307735,9.319205,9.330505,9.341758,9.353135,9.36483,9.377029,9.389888,9.4035,9.417903,9.433101
2000-01-01 08:00:00,6.256936,6.7504997,7.1486735,7.4726777,7.7365904,7.9514623,8.126386,8.269133,8.386297,8.483338,8.564635,8.633599,8.692826,8.744298,8.78959,8.829934,8.866255,8.899272,8.929583,8.957678,8.98399,9.008846,9.032436,9.054856,9.076139,9.096358,9.115676,9.134278,9.152322,9.1699295,9.187223,9.2042675,9.221003,9.237336,9.253247,9.268784,9.284009,9.298991,9.313796,9.328457,9.342959,9.357248,9.37129,9.385089,9.398667,9.412057,9.42527,9.438283,9.451084,9.4636545,9.475944,9.487963,9.499826,9.51172,9.523852,9.536393,9.549455,9.563136,9.577492,9.592566
2000-01-01 09:00:00,6.3743854,6.877704,7.284,7.614778,7.8844285,8.104168,8.283098,8.429074,8.548949,8.648472,8.73225,8.803806,8.865699,8.919763,8.9673815,9.009684,9.047664,9.082201,9.114025,9.143648,9.171378,9.197419,9.221994,9.245302,9.267515,9.288823,9.309381,9.329274,9.348531,9.367156,9.38518,9.40268,9.419762,9.436527,9.453028,9.469262,9.485236,9.50098,9.516482,9.531709,9.546663,9.561386,9.57587,9.590042,9.603821,9.617159,9.63008,9.642666,9.655016,9.667201,9.679245,9.691194,9.703181,9.715382,9.727953,9.741013,9.754681,9.769096,9.7843485,9.800436
2000-01-01 10:00:00,6.533785,7.049474,7.464616,7.801146,8.073909,8.294938,8.474242,8.620356,8.740399,8.840104,8.92402,8.995698,9.05781,9.112307,9.160626,9.20393,9.243215,9.279293,9.31276,9.344053,9.373492,9.40128,9.42757,9.452501,9.476244,9.498988,9.520877,9.542031,9.562532,9.5823965,9.601625,9.62022,9.638212,9.655679,9.672729,9.68946,9.705911,9.722093,9.738042,9.753801,9.76938,9.784765,9.799957,9.814927,9.829601,9.843904,9.85783,9.8714485,9.884815,9.897924,9.910768,9.923402,9.935982,9.948723,9.961839,9.975478,9.989749,10.00474,10.020522,10.037199
2000-01-01 11:00:00,6.672318,7.199188,7.6247787,7.97175,8.254816,8.485428,8.673044,8.825908,8.951117,9.054536,9.14084,9.213765,9.276295,9.330686,9.378593,9.42126,9.459676,9.494663,9.52697,9.557207,9.585796,9.612975,9.638876,9.663566,9.68711,9.709578,9.73108,9.751747,9.7716465,9.790793,9.809209,9.8270235,9.844356,9.861297,9.877949,9.894373,9.910583,9.926591,9.942409,9.958043,9.973462,9.988634,10.003541,10.018167,10.032502,10.046605,10.060544,10.074365,10.088064,10.101629,10.115082,10.128494,10.141988,10.15566,10.169616,10.184037,10.199097,10.214885,10.231516,10.249136
2000-01-01 12:00:00,6.79155,7.327507,7.759803,8.111569,8.398156,8.631612,8.82181,8.977179,9.104794,9.210455,9.298866,9.373862,9.438546,9.495265,9.545685,9.590942,9.631855,9.669047,9.703115,9.734578,9.763803,9.791076,9.816733,9.841087,9.864343,9.8866415,9.908118,9.928926,9.949204,9.969066,9.988549,10.007678,10.026499,10.04508,10.063463,10.081628,10.099506,10.117044,10.134177,10.150897,10.16726,10.183312,10.199024,10.214377,10.229412,10.244221,10.258871,10.273417,10.287879,10.302224,10.316419,10.330511,10.344627,10.358925,10.373554,10.38865,10.404318,10.420654,10.437687,10.455372
