,mean,std,nx_dx
142,-0.015327892,0.0058088726,-1080.0
143,-0.015552448,0.005895921,-1070.0
144,-0.015784243,0.0059965802,-1060.0
145,-0.016028097,0.0061114607,-1050.0
146,-0.016285272,0.006235402,-1040.0
147,-0.016551176,0.0063572433,-1030.0
148,-0.016819341,0.006469095,-1020.0
149,-0.01708725,0.0065757963,-1010.0
150,-0.01735531,0.006674436,-1000.0
151,-0.0176251,0.006767785,-990.0
152,-0.017898763,0.006867146,-980.0
153,-0.01817901,0.0069796345,-970.0
154,-0.018470122,0.007107249,-960.0
155,-0.018775549,0.0072523626,-950.0
156,-0.019093852,0.0074054375,-940.0
157,-0.019419825,0.0075567216,-930.0
158,-0.019750945,0.007695344,-920.0
159,-0.020087918,0.007811854,-910.0
160,-0.020430023,0.007913947,-900.0
161,-0.020773798,0.008017968,-890.0
162,-0.021118082,0.008146268,-880.0
163,-0.021469776,0.008307613,-870.0
164,-0.0218398,0.008503935,-860.0
165,-0.02223228,0.008700852,-850.0
166,-0.02264153,0.008887717,-840.0
167,-0.023061004,0.0090556685,-830.0
168,-0.023489375,0.009191773,-820.0
169,-0.023925083,0.009305266,-810.0
170,-0.02436264,0.009428446,-800.0
171,-0.024798555,0.009595866,-790.0
172,-0.025240561,0.009818916,-780.0
173,-0.02570521,0.0100783175,-770.0
174,-0.026203075,0.010324532,-760.0
175,-0.026728615,0.010540014,-750.0
176,-0.027267981,0.010735621,-740.0
177,-0.02781543,0.010904562,-730.0
178,-0.028374858,0.011046726,-720.0
179,-0.028948827,0.011228418,-710.0
180,-0.029533464,0.01148379,-700.0
181,-0.03012942,0.0117696235,-690.0
182,-0.03074758,0.012069375,-680.0
183,-0.031396307,0.012380758,-670.0
184,-0.03207344,0.012663898,-660.0
185,-0.032773297,0.012891008,-650.0
186,-0.033496246,0.0130942445,-640.0
187,-0.034247916,0.013320646,-630.0
188,-0.035032183,0.01358753,-620.0
189,-0.03584857,0.013908081,-610.0
190,-0.036690984,0.014266822,-600.0
191,-0.03754993,0.014671923,-590.0
192,-0.03842099,0.015086994,-580.0
193,-0.03931478,0.015442787,-570.0
194,-0.040253628,0.015755754,-560.0
195,-0.04125336,0.016048582,-550.0
196,-0.04231671,0.01631602,-540.0
