3	0.8068
3.5	0.7935
4	0.7803
4.5	0.7678
5	0.7553
5.5	0.7516
6	0.7479
6.5	0.7479
7	0.7479
7.5	0.7386
8	0.7294
8.5	0.678
9	0.6266
9.5	0.5657
10	0.5047
10.5	0.4476
11	0.3905
11.5	0.3452
12	0.2998
12.5	0.2638
13	0.2278
13.5	0.2049
14	0.182
14.5	0.1646
15	0.1473
15.5	0.134
16	0.1208
16.5	0.1111
17	0.1013
17.5	0.09336
18	0.0854
18.5	0.07928
19	0.07316
19.5	0.0682
20	0.06324
20.5	0.05911
21	0.05498
21.5	0.05179
22	0.04861
22.5	0.04569
23	0.04277
23.5	0.04065
24	0.03852
24.5	0.0364
25	0.03428
